# Time-averaged data for fix savg
# TimeStep v_gamma c_myP[1] c_myP[2] c_myP[4]
50500 0.00504505 185.115 25.0077 -1032.04
50600 0.00505505 189.65 26.0523 -1032.9
50700 0.00506505 195.743 28.8354 -1034.11
50800 0.00507505 202.085 31.0504 -1035.59
50900 0.00508505 207.2 31.6533 -1037
51000 0.00509505 212.753 33.1699 -1038.4
51100 0.00510505 219.337 36.5861 -1040.04
51200 0.00511505 225.642 39.4713 -1042.08
51300 0.00512505 230.971 40.7713 -1044.25
51400 0.00513505 237.321 42.825 -1046.34
51500 0.00514505 244.482 46.5848 -1048.42
51600 0.00515505 250.809 49.9344 -1050.84
51700 0.00516505 256.144 52.0858 -1053.53
51800 0.00517505 262.92 54.9052 -1056.24
51900 0.00518505 270.562 58.9354 -1058.78
52000 0.00519505 277.049 62.4727 -1061.41
52100 0.00520505 282.397 65.356 -1064.31
52200 0.00521505 289.223 69.0666 -1067.38
52300 0.00522505 296.973 73.4421 -1070.29
52400 0.00523505 303.575 76.9818 -1073.07
52500 0.00524505 309.034 80.2744 -1075.93
52600 0.00525505 315.695 84.717 -1079.01
52700 0.00526505 323.102 89.4791 -1082.09
52800 0.00527505 329.521 92.9884 -1084.97
52900 0.00528505 335.083 96.3568 -1087.7
53000 0.00529505 341.517 101.111 -1090.54
53100 0.00530505 348.257 106.09 -1093.51
53200 0.00531505 354.088 109.593 -1096.4
53300 0.00532505 359.543 112.856 -1099.04
53400 0.00533505 365.726 117.462 -1101.59
53500 0.00534505 371.709 122.288 -1104.26
53600 0.00535505 376.667 125.724 -1107.02
53700 0.00536505 381.681 128.851 -1109.61
53800 0.00537505 387.494 133.025 -1111.98
53900 0.00538505 392.778 137.294 -1114.33
54000 0.00539505 396.818 140.455 -1116.84
54100 0.00540505 401.111 143.442 -1119.36
54200 0.00541505 406.328 147.121 -1121.69
54300 0.00542505 410.946 150.582 -1123.85
54400 0.00543505 414.197 153.188 -1126.1
54500 0.00544505 417.675 155.936 -1128.48
54600 0.00545505 422.059 159.169 -1130.82
54700 0.00546505 425.929 161.789 -1132.97
54800 0.00547505 428.535 163.632 -1135.05
54900 0.00548505 431.286 165.942 -1137.24
55000 0.00549505 434.721 168.734 -1139.55
55100 0.00550505 437.682 170.628 -1141.78
55200 0.00551505 439.676 171.668 -1143.85
55300 0.00552505 441.853 173.343 -1145.9
55400 0.00553505 444.391 175.589 -1148.09
55500 0.00554505 446.327 176.866 -1150.38
55600 0.00555505 447.621 177.224 -1152.55
55700 0.00556505 449.308 178.182 -1154.56
55800 0.00557505 451.107 179.721 -1156.63
55900 0.00558505 452.039 180.388 -1158.86
56000 0.00559505 452.522 180.227 -1161.11
56100 0.00560505 453.678 180.551 -1163.2
56200 0.00561505 454.875 181.279 -1165.19
56300 0.00562505 454.956 181.246 -1167.28
56400 0.00563505 454.613 180.664 -1169.51
56500 0.00564505 455.128 180.532 -1171.69
56600 0.00565505 455.747 180.493 -1173.68
56700 0.00566505 455.164 179.673 -1175.63
56800 0.00567505 454.121 178.657 -1177.7
56900 0.00568505 453.924 178.223 -1179.87
57000 0.00569505 453.873 177.586 -1181.91
57100 0.00570505 452.711 175.977 -1183.77
57200 0.00571505 451.134 174.434 -1185.62
57300 0.00572505 450.305 173.758 -1187.62
57400 0.00573505 449.499 172.764 -1189.65
57500 0.00574505 447.786 170.616 -1191.5
57600 0.00575505 445.917 168.621 -1193.18
57700 0.00576505 444.615 167.648 -1194.9
57800 0.00577505 443.016 166.361 -1196.76
57900 0.00578505 440.607 163.87 -1198.59
58000 0.00579505 438.421 161.522 -1200.19
58100 0.00580505 436.821 160.206 -1201.66
58200 0.00581505 434.601 158.651 -1203.26
58300 0.00582505 431.594 156.127 -1204.99
58400 0.00583505 429.086 153.755 -1206.61
58500 0.00584505 427.303 152.191 -1208
58600 0.00585505 424.658 150.301 -1209.36
58700 0.00586505 421.047 147.686 -1210.89
58800 0.00587505 418.081 145.458 -1212.51
58900 0.00588505 416.011 143.801 -1213.98
59000 0.00589505 413.075 141.574 -1215.3
59100 0.00590505 409.19 138.886 -1216.68
59200 0.00591505 405.914 136.948 -1218.28
59300 0.00592505 403.422 135.387 -1219.94
59400 0.00593505 400.084 132.876 -1221.43
59500 0.00594505 395.962 129.952 -1222.84
59600 0.00595505 392.334 128.081 -1224.4
59700 0.00596505 389.279 126.62 -1226.22
59800 0.00597505 385.499 124.065 -1228.07
59900 0.00598505 381.311 121.056 -1229.77
60000 0.00599505 377.7 119.225 -1231.45
60100 0.00600505 374.22 117.828 -1233.41
60200 0.00601505 369.716 115.255 -1235.6
60300 0.00602505 365.137 112.201 -1237.76
60400 0.00603505 361.402 110.259 -1239.77
60500 0.00604505 357.459 108.658 -1241.88
