# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
71100 -360.263 -2785.91 42.5562
71200 -353.948 -2715.08 46.1448
71300 -474.911 -2618.08 70.4416
71400 -438.306 -2895.36 24.9625
71500 -463.007 -2904.08 18.7013
71600 -391.602 -2835.16 14.5837
71700 -412.269 -2701.41 63.9035
71800 -396.938 -2692.39 5.31586
71900 -292.848 -2751.56 36.8156
72000 -257.126 -2699.47 -14.0095
72100 -372.954 -2767.91 76.9363
72200 -518.453 -2876.21 36.5502
72300 -475.14 -2811.98 95.4029
72400 -282.496 -2788.88 35.4741
72500 -460.601 -2927.74 19.4523
72600 -533.999 -2901.34 101.615
72700 -476.57 -2828.2 36.4019
72800 -529.709 -2966.42 -14.1489
72900 -569.688 -2981.12 0.831298
73000 -468.455 -2940.91 56.7405
73100 -419.5 -2764.6 4.09565
73200 -377.2 -2862.96 14.5534
73300 -403.265 -2973.95 -16.4317
73400 -359.567 -2944.4 34.5745
73500 -394.728 -2835.54 19.3463
73600 -411.172 -2919.16 24.5424
73700 -366.915 -2869.42 -93.6427
73800 -188.784 -2833.44 -27.7369
73900 -243.085 -2826.94 12.2324
74000 -460.223 -2949.92 9.97679
74100 -459.416 -2990.09 19.698
74200 -260.505 -2887.78 -9.88976
74300 -343.178 -3073.05 33.1318
74400 -478.393 -3059.15 -2.0309
74500 -472.548 -3054.5 41.4353
74600 -364.472 -3037.3 15.7266
74700 -503.197 -3269.82 60.0506
74800 -521.854 -3119.81 -3.05875
74900 -515.717 -2990.06 77.448
75000 -360.51 -2960.84 -24.0697
75100 -406.134 -3212.96 72.3462
75200 -373.192 -3029.18 -64.6462
