# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
56600 -2532.47 -524.649 0.0115835
56700 -2535.39 -521.579 -0.0519047
56800 -2538.19 -517.756 -0.135674
56900 -2542.16 -514.874 -0.23683
57000 -2546.11 -512.684 -0.35139
57100 -2548.7 -509.671 -0.475736
57200 -2551.25 -506.346 -0.605819
57300 -2555.17 -503.743 -0.738226
57400 -2559.06 -501.316 -0.869346
57500 -2561.56 -498.197 -0.995839
57600 -2563.99 -495.305 -1.11453
57700 -2567.71 -493.129 -1.22283
57800 -2571.43 -490.639 -1.31849
57900 -2574.03 -487.41 -1.39971
58000 -2576.6 -484.825 -1.46506
58100 -2580.17 -483.113 -1.51363
58200 -2583.65 -480.819 -1.54487
58300 -2586.42 -477.687 -1.55891
58400 -2589.39 -475.356 -1.55612
58500 -2593.02 -474.039 -1.53725
58600 -2596.33 -472.144 -1.50301
58700 -2599.28 -469.423 -1.45489
58800 -2602.81 -467.441 -1.39431
58900 -2606.76 -466.436 -1.323
59000 -2610.1 -465.005 -1.24218
59100 -2613.27 -462.966 -1.15381
59200 -2617.34 -461.544 -1.05951
59300 -2621.78 -460.849 -0.961353
59400 -2625.43 -459.852 -0.860562
59500 -2628.92 -458.62 -0.759048
59600 -2633.46 -457.981 -0.65815
59700 -2638.43 -457.709 -0.559834
59800 -2642.59 -457.114 -0.465169
59900 -2646.57 -456.67 -0.375787
60000 -2651.55 -456.947 -0.292603
60100 -2656.96 -457.279 -0.217252
60200 -2661.71 -457.132 -0.150607
60300 -2666.35 -457.395 -0.093972
60400 -2671.82 -458.591 -0.0478437
60500 -2677.56 -459.685 -0.0133148
60600 -2682.83 -460.12 0.00908143
60700 -2688.23 -461.043 0.0184848
60800 -2694.27 -463.056 0.0147646
60900 -2700.28 -464.968 -0.00250963
61000 -2705.93 -466.154 -0.0332228
61100 -2712.04 -467.782 -0.0776524
61200 -2718.72 -470.493 -0.135873
61300 -2725.01 -473.159 -0.207286
61400 -2730.9 -475.22 -0.290811
61500 -2737.56 -477.693 -0.385797
61600 -2744.82 -481.025 -0.491362
61700 -2751.4 -484.275 -0.606627
61800 -2757.44 -487.21 -0.730253
61900 -2764.41 -490.682 -0.860712
62000 -2772.06 -494.701 -0.996355
62100 -2778.88 -498.415 -1.13518
62200 -2785.04 -502.117 -1.27499
62300 -2792.09 -506.658 -1.41346
62400 -2799.77 -511.454 -1.54823
62500 -2806.61 -515.567 -1.67686
62600 -2812.83 -519.848 -1.79678
62700 -2819.78 -525.349 -1.90537
62800 -2827.07 -530.959 -1.9998
62900 -2833.53 -535.498 -2.07772
63000 -2839.68 -540.192 -2.13685
